address,ghidra_name,friendly_name,category,signature,calling_convention,size,status,confidence,danger_level,description,evidence,source,test_notes,hit_count,last_test
0x0076DF00,FUN_0076df00,,Unknown,char * FUN_0076df00(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076DF10,FUN_0076df10,,Unknown,char * FUN_0076df10(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076DF20,FUN_0076df20,,Unknown,"undefined4 FUN_0076df20(void * this\, undefined4 * param_1\, int param_2)",,903,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076E2B0,FUN_0076e2b0,,Unknown,char * FUN_0076e2b0(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076E2C0,FUN_0076e2c0,,Unknown,char * FUN_0076e2c0(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076E2D0,FUN_0076e2d0,,Unknown,"undefined4 FUN_0076e2d0(void * this\, undefined4 * param_1\, int param_2)",,733,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076E5B0,FUN_0076e5b0,,Unknown,char * FUN_0076e5b0(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076E5C0,FUN_0076e5c0,,Unknown,char * FUN_0076e5c0(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076E5D0,FUN_0076e5d0,,Unknown,"bool FUN_0076e5d0(void * this\, undefined4 * param_1)",,72,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076E620,FUN_0076e620,,Unknown,char * FUN_0076e620(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
0x0076E630,FUN_0076e630,,Unknown,char * FUN_0076e630(void),,6,UNKNOWN,LOW,INSTRUMENT_ONLY,,,Ghidra Functions.csv,,0,
